municipality,house_district,house_member,senate_district,senate_member,congressional_district,congress_member
GREGG TWP,171,BENNINGHOFF - R,34,CORMAN - R,12,MARINO - R
HAINES TWP,76,BOROWICZ - R,34,CORMAN - R,12,MARINO - R
HALFMOON TWP,81,IRVIN - R,34,CORMAN - R,12,MARINO - R
HALFMOON TWP,81,IRVIN - R,34,CORMAN - R,15,THOMPSON - R
HARRIS TWP,171,BENNINGHOFF - R,34,CORMAN - R,12,MARINO - R
HOWARD BOROUGH,76,BOROWICZ - R,34,CORMAN - R,15,THOMPSON - R
HOWARD TWP,76,BOROWICZ - R,34,CORMAN - R,15,THOMPSON - R
HUSTON TWP,77,CONKLIN - D,34,CORMAN - R,15,THOMPSON - R
LIBERTY TWP,76,BOROWICZ - R,34,CORMAN - R,15,THOMPSON - R
MARION TWP,76,BOROWICZ - R,34,CORMAN - R,15,THOMPSON - R
MILES TWP,76,BOROWICZ - R,34,CORMAN - R,12,MARINO - R
MILESBURG BOROUGH,76,BOROWICZ - R,34,CORMAN - R,15,THOMPSON - R
MILLHEIM BOROUGH,171,BENNINGHOFF - R,34,CORMAN - R,12,MARINO - R
PATTON TWP,77,CONKLIN - D,34,CORMAN - R,15,THOMPSON - R
PATTON TWP,81,IRVIN - R,34,CORMAN - R,15,THOMPSON - R
PENN TWP,171,BENNINGHOFF - R,34,CORMAN - R,12,MARINO - R
PHILIPSBURG BOROUGH,77,CONKLIN - D,34,CORMAN - R,15,THOMPSON - R
PORT MATILDA BOROUGH,81,IRVIN - R,34,CORMAN - R,15,THOMPSON - R
POTTER TWP,171,BENNINGHOFF - R,34,CORMAN - R,12,MARINO - R
RUSH TWP,77,CONKLIN - D,34,CORMAN - R,15,THOMPSON - R
SNOW SHOE BOROUGH,76,BOROWICZ - R,34,CORMAN - R,15,THOMPSON - R
SNOW SHOE TWP,76,BOROWICZ - R,34,CORMAN - R,15,THOMPSON - R
SPRING TWP,171,BENNINGHOFF - R,34,CORMAN - R,15,THOMPSON - R
STATE COLLEGE BOROUGH,77,CONKLIN - D,34,CORMAN - R,12,MARINO - R
TAYLOR TWP,81,IRVIN - R,34,CORMAN - R,15,THOMPSON - R
UNION TWP,76,BOROWICZ - R,34,CORMAN - R,15,THOMPSON - R
UNIONVILLE BOROUGH,76,BOROWICZ - R,34,CORMAN - R,15,THOMPSON - R
WALKER TWP,171,BENNINGHOFF - R,34,CORMAN - R,15,THOMPSON - R
WORTH TWP,81,IRVIN - R,34,CORMAN - R,15,THOMPSON - R
ATGLEN BOROUGH,13,LAWRENCE - R,19,DINNIMAN - D,6,HOULAHAN - D
AVONDALE BOROUGH,158,SAPPEY - D,19,DINNIMAN - D,6,HOULAHAN - D
BIRMINGHAM TWP,156,COMITTA - D,9,KILLION - R,5,SCANLON - D
BIRMINGHAM TWP,156,COMITTA - D,9,KILLION - R,6,HOULAHAN - D
CALN TWP,74,WILLIAMS - D,44,MUTH - D,6,HOULAHAN - D
CHARLESTOWN TWP,167,HOWARD - D,19,DINNIMAN - D,6,HOULAHAN - D
COATESVILLE CITY,74,WILLIAMS - D,19,DINNIMAN - D,6,HOULAHAN - D
DOWNINGTOWN BOROUGH,74,WILLIAMS - D,19,DINNIMAN - D,6,HOULAHAN - D
EAST BRADFORD TWP,158,SAPPEY - D,19,DINNIMAN - D,6,HOULAHAN - D
EAST BRANDYWINE TWP,155,OTTEN - D,44,MUTH - D,6,HOULAHAN - D
EAST CALN TWP,74,WILLIAMS - D,19,DINNIMAN - D,6,HOULAHAN - D
EAST COVENTRY TWP,26,HENNESSEY - R,44,MUTH - D,6,HOULAHAN - D
EAST FALLOWFIELD TWP,74,WILLIAMS - D,19,DINNIMAN - D,6,HOULAHAN - D
EAST GOSHEN TWP,156,COMITTA - D,9,KILLION - R,6,HOULAHAN - D
EAST MARLBOROUGH TWP,158,SAPPEY - D,9,KILLION - R,6,HOULAHAN - D
EAST NANTMEAL TWP,26,HENNESSEY - R,44,MUTH - D,6,HOULAHAN - D
EAST NOTTINGHAM TWP,13,LAWRENCE - R,19,DINNIMAN - D,16,KELLY - R
EAST PIKELAND TWP,155,OTTEN - D,44,MUTH - D,6,HOULAHAN - D
EAST VINCENT TWP,26,HENNESSEY - R,44,MUTH - D,6,HOULAHAN - D
EAST WHITELAND TWP,167,HOWARD - D,19,DINNIMAN - D,6,HOULAHAN - D
EASTTOWN TWP,167,HOWARD - D,26,KEARNEY - D,6,HOULAHAN - D
ELK TWP,13,LAWRENCE - R,19,DINNIMAN - D,6,HOULAHAN - D
ELVERSON BOROUGH,26,HENNESSEY - R,44,MUTH - D,6,HOULAHAN - D
FRANKLIN TWP,13,LAWRENCE - R,19,DINNIMAN - D,6,HOULAHAN - D
HIGHLAND TWP,13,LAWRENCE - R,19,DINNIMAN - D,6,HOULAHAN - D
HONEY BROOK BOROUGH,26,HENNESSEY - R,44,MUTH - D,6,HOULAHAN - D
HONEY BROOK TWP,26,HENNESSEY - R,44,MUTH - D,6,HOULAHAN - D
KENNETT SQUARE BOROUGH,160,BARRAR - R,9,KILLION - R,6,HOULAHAN - D
KENNETT TWP,160,BARRAR - R,9,KILLION - R,6,HOULAHAN - D
LONDON BRITAIN TWP,158,SAPPEY - D,19,DINNIMAN - D,6,HOULAHAN - D
LONDON GROVE TWP,13,LAWRENCE - R,19,DINNIMAN - D,6,HOULAHAN - D
LONDONDERRY TWP,13,LAWRENCE - R,19,DINNIMAN - D,6,HOULAHAN - D
LOWER OXFORD TWP,13,LAWRENCE - R,19,DINNIMAN - D,6,HOULAHAN - D
MALVERN BOROUGH,167,HOWARD - D,19,DINNIMAN - D,6,HOULAHAN - D
MODENA BOROUGH,74,WILLIAMS - D,19,DINNIMAN - D,6,HOULAHAN - D
NEW GARDEN TWP,158,SAPPEY - D,19,DINNIMAN - D,6,HOULAHAN - D
NEW LONDON TWP,13,LAWRENCE - R,19,DINNIMAN - D,6,HOULAHAN - D
NEWLIN TWP,158,SAPPEY - D,9,KILLION - R,6,HOULAHAN - D
NORTH COVENTRY TWP,26,HENNESSEY - R,44,MUTH - D,6,HOULAHAN - D
OXFORD BOROUGH,13,LAWRENCE - R,19,DINNIMAN - D,6,HOULAHAN - D
PARKESBURG BOROUGH,74,WILLIAMS - D,19,DINNIMAN - D,6,HOULAHAN - D
PENN TWP,13,LAWRENCE - R,19,DINNIMAN - D,6,HOULAHAN - D
PENNSBURY TWP,160,BARRAR - R,9,KILLION - R,6,HOULAHAN - D
PHOENIXVILLE BOROUGH,155,OTTEN - D,19,DINNIMAN - D,6,HOULAHAN - D
PHOENIXVILLE BOROUGH,157,SHUSTERMAN - D,19,DINNIMAN - D,6,HOULAHAN - D
POCOPSON TWP,160,BARRAR - R,9,KILLION - R,6,HOULAHAN - D
SADSBURY TWP,74,WILLIAMS - D,19,DINNIMAN - D,6,HOULAHAN - D
SCHUYLKILL TWP,157,SHUSTERMAN - D,19,DINNIMAN - D,6,HOULAHAN - D
SOUTH COATESVILLE BOROUGH,74,WILLIAMS - D,19,DINNIMAN - D,6,HOULAHAN - D
SOUTH COVENTRY TWP,26,HENNESSEY - R,44,MUTH - D,6,HOULAHAN - D
SPRING CITY BOROUGH,155,OTTEN - D,44,MUTH - D,6,HOULAHAN - D
THORNBURY TWP,156,COMITTA - D,9,KILLION - R,6,HOULAHAN - D
TREDYFFRIN TWP,157,SHUSTERMAN - D,19,DINNIMAN - D,6,HOULAHAN - D
UPPER OXFORD TWP,13,LAWRENCE - R,19,DINNIMAN - D,6,HOULAHAN - D
UPPER UWCHLAN TWP,155,OTTEN - D,44,MUTH - D,6,HOULAHAN - D
UWCHLAN TWP,155,OTTEN - D,44,MUTH - D,6,HOULAHAN - D
VALLEY TWP,74,WILLIAMS - D,19,DINNIMAN - D,6,HOULAHAN - D
WALLACE TWP,26,HENNESSEY - R,44,MUTH - D,6,HOULAHAN - D
WARWICK TWP,26,HENNESSEY - R,44,MUTH - D,6,HOULAHAN - D
WEST BRADFORD TWP,158,SAPPEY - D,19,DINNIMAN - D,6,HOULAHAN - D
WEST BRANDYWINE TWP,155,OTTEN - D,44,MUTH - D,6,HOULAHAN - D
WEST BRANDYWINE TWP,155,OTTEN - D,44,MUTH - D,7,WILD - D
WEST CALN TWP,26,HENNESSEY - R,44,MUTH - D,6,HOULAHAN - D
WEST CHESTER BOROUGH,156,COMITTA - D,19,DINNIMAN - D,6,HOULAHAN - D
WEST FALLOWFIELD TWP,13,LAWRENCE - R,19,DINNIMAN - D,6,HOULAHAN - D
WEST GOSHEN TWP,156,COMITTA - D,9,KILLION - R,6,HOULAHAN - D
WEST GOSHEN TWP,158,SAPPEY - D,9,KILLION - R,6,HOULAHAN - D
WEST GROVE BOROUGH,13,LAWRENCE - R,19,DINNIMAN - D,6,HOULAHAN - D
WEST MARLBOROUGH TWP,158,SAPPEY - D,19,DINNIMAN - D,6,HOULAHAN - D
WEST NANTMEAL TWP,26,HENNESSEY - R,44,MUTH - D,6,HOULAHAN - D
WEST NOTTINGHAM TWP,13,LAWRENCE - R,19,DINNIMAN - D,6,HOULAHAN - D
WEST PIKELAND TWP,167,HOWARD - D,19,DINNIMAN - D,6,HOULAHAN - D
WEST SADSBURY TWP,26,HENNESSEY - R,19,DINNIMAN - D,6,HOULAHAN - D
WEST VINCENT TWP,155,OTTEN - D,44,MUTH - D,6,HOULAHAN - D
WEST WHITELAND TWP,167,HOWARD - D,19,DINNIMAN - D,6,HOULAHAN - D
WESTTOWN TWP,156,COMITTA - D,9,KILLION - R,6,HOULAHAN - D
WILLISTOWN TWP,167,HOWARD - D,26,KEARNEY - D,6,HOULAHAN - D
ASHLAND TWP,63,OBERLANDER - R,21,HUTCHINSON - R,15,THOMPSON - R
BEAVER TWP,63,OBERLANDER - R,21,HUTCHINSON - R,15,THOMPSON - R
BRADY TWP,63,OBERLANDER - R,21,HUTCHINSON - R,15,THOMPSON - R
CALLENSBURG BOROUGH,63,OBERLANDER - R,21,HUTCHINSON - R,15,THOMPSON - R
CLARION BOROUGH,63,OBERLANDER - R,21,HUTCHINSON - R,15,THOMPSON - R
CLARION TWP,63,OBERLANDER - R,21,HUTCHINSON - R,15,THOMPSON - R
EAST BRADY BOROUGH,63,OBERLANDER - R,21,HUTCHINSON - R,15,THOMPSON - R
ELK TWP,63,OBERLANDER - R,21,HUTCHINSON - R,15,THOMPSON - R
EMLENTON BOROUGH,63,OBERLANDER - R,21,HUTCHINSON - R,15,THOMPSON - R
FARMINGTON TWP,63,OBERLANDER - R,21,HUTCHINSON - R,15,THOMPSON - R
FOXBURG BOROUGH,63,OBERLANDER - R,21,HUTCHINSON - R,15,THOMPSON - R
HAWTHORN BOROUGH,63,OBERLANDER - R,21,HUTCHINSON - R,15,THOMPSON - R
HIGHLAND TWP,63,OBERLANDER - R,21,HUTCHINSON - R,15,THOMPSON - R
KNOX BOROUGH,63,OBERLANDER - R,21,HUTCHINSON - R,15,THOMPSON - R
KNOX TWP,63,OBERLANDER - R,21,HUTCHINSON - R,15,THOMPSON - R
LICKING TWP,63,OBERLANDER - R,21,HUTCHINSON - R,15,THOMPSON - R
LIMESTONE TWP,63,OBERLANDER - R,21,HUTCHINSON - R,15,THOMPSON - R
MADISON TWP,63,OBERLANDER - R,21,HUTCHINSON - R,15,THOMPSON - R
MILLCREEK TWP,63,OBERLANDER - R,21,HUTCHINSON - R,15,THOMPSON - R
MONROE TWP,63,OBERLANDER - R,21,HUTCHINSON - R,15,THOMPSON - R
NEW BETHLEHEM BOROUGH,63,OBERLANDER - R,21,HUTCHINSON - R,15,THOMPSON - R
PAINT TWP,63,OBERLANDER - R,21,HUTCHINSON - R,15,THOMPSON - R
PERRY TWP,63,OBERLANDER - R,21,HUTCHINSON - R,15,THOMPSON - R
PINEY TWP,63,OBERLANDER - R,21,HUTCHINSON - R,15,THOMPSON - R
PORTER TWP,63,OBERLANDER - R,21,HUTCHINSON - R,15,THOMPSON - R
REDBANK TWP,63,OBERLANDER - R,21,HUTCHINSON - R,15,THOMPSON - R
RICHLAND TWP,63,OBERLANDER - R,21,HUTCHINSON - R,15,THOMPSON - R
RIMERSBURG BOROUGH,63,OBERLANDER - R,21,HUTCHINSON - R,15,THOMPSON - R
SALEM TWP,63,OBERLANDER - R,21,HUTCHINSON - R,15,THOMPSON - R
SHIPPENVILLE BOROUGH,63,OBERLANDER - R,21,HUTCHINSON - R,15,THOMPSON - R
SLIGO BOROUGH,63,OBERLANDER - R,21,HUTCHINSON - R,15,THOMPSON - R
ST. PETERSBURG BOROUGH,63,OBERLANDER - R,21,HUTCHINSON - R,15,THOMPSON - R
STRATTANVILLE BOROUGH,63,OBERLANDER - R,21,HUTCHINSON - R,15,THOMPSON - R
TOBY TWP,63,OBERLANDER - R,21,HUTCHINSON - R,15,THOMPSON - R
WASHINGTON TWP,63,OBERLANDER - R,21,HUTCHINSON - R,15,THOMPSON - R
BECCARIA TWP,73,SANKEY - R,35,LANGERHOLC - R,15,THOMPSON - R
BELL TWP,73,SANKEY - R,35,LANGERHOLC - R,15,THOMPSON - R
BIGLER TWP,73,SANKEY - R,35,LANGERHOLC - R,15,THOMPSON - R
BLOOM TWP,75,GABLER - R,35,LANGERHOLC - R,15,THOMPSON - R
BOGGS TWP,73,SANKEY - R,35,LANGERHOLC - R,15,THOMPSON - R
BRADFORD TWP,75,GABLER - R,35,LANGERHOLC - R,15,THOMPSON - R
BRADY TWP,75,GABLER - R,25,SCARNATI - R,15,THOMPSON - R
BRISBIN BOROUGH,73,SANKEY - R,35,LANGERHOLC - R,15,THOMPSON - R
BURNSIDE BOROUGH,73,SANKEY - R,35,LANGERHOLC - R,15,THOMPSON - R
BURNSIDE TWP,73,SANKEY - R,35,LANGERHOLC - R,15,THOMPSON - R
CHEST TWP,73,SANKEY - R,35,LANGERHOLC - R,15,THOMPSON - R
CHESTER HILL BOROUGH,73,SANKEY - R,35,LANGERHOLC - R,15,THOMPSON - R
CLEARFIELD BOROUGH,73,SANKEY - R,35,LANGERHOLC - R,15,THOMPSON - R
COALPORT BOROUGH,73,SANKEY - R,35,LANGERHOLC - R,15,THOMPSON - R
COOPER TWP,73,SANKEY - R,35,LANGERHOLC - R,15,THOMPSON - R
COVINGTON TWP,75,GABLER - R,35,LANGERHOLC - R,15,THOMPSON - R
CURWENSVILLE BOROUGH,73,SANKEY - R,35,LANGERHOLC - R,15,THOMPSON - R
DECATUR TWP,73,SANKEY - R,35,LANGERHOLC - R,15,THOMPSON - R
DUBOIS CITY,75,GABLER - R,25,SCARNATI - R,15,THOMPSON - R
FALLS CREEK BOROUGH,75,GABLER - R,25,SCARNATI - R,15,THOMPSON - R
FERGUSON TWP,73,SANKEY - R,35,LANGERHOLC - R,5,SCANLON - D
GIRARD TWP,75,GABLER - R,35,LANGERHOLC - R,15,THOMPSON - R
GLEN HOPE BOROUGH,73,SANKEY - R,35,LANGERHOLC - R,15,THOMPSON - R
GOSHEN TWP,75,GABLER - R,35,LANGERHOLC - R,15,THOMPSON - R
GRAHAM TWP,75,GABLER - R,35,LANGERHOLC - R,15,THOMPSON - R
GRAMPIAN BOROUGH,73,SANKEY - R,35,LANGERHOLC - R,15,THOMPSON - R
GREENWOOD TWP,73,SANKEY - R,35,LANGERHOLC - R,15,THOMPSON - R
GULICH TWP,73,SANKEY - R,35,LANGERHOLC - R,15,THOMPSON - R
HOUTZDALE BOROUGH,73,SANKEY - R,35,LANGERHOLC - R,15,THOMPSON - R
HUSTON TWP,75,GABLER - R,25,SCARNATI - R,15,THOMPSON - R
IRVONA BOROUGH,73,SANKEY - R,35,LANGERHOLC - R,15,THOMPSON - R
JORDAN TWP,73,SANKEY - R,35,LANGERHOLC - R,15,THOMPSON - R
KARTHAUS TWP,75,GABLER - R,35,LANGERHOLC - R,15,THOMPSON - R
KNOX TWP,73,SANKEY - R,35,LANGERHOLC - R,15,THOMPSON - R
LAWRENCE TWP,73,SANKEY - R,35,LANGERHOLC - R,15,THOMPSON - R
LAWRENCE TWP,75,GABLER - R,35,LANGERHOLC - R,15,THOMPSON - R
MAHAFFEY BOROUGH,73,SANKEY - R,35,LANGERHOLC - R,15,THOMPSON - R
MORRIS TWP,73,SANKEY - R,35,LANGERHOLC - R,15,THOMPSON - R
NEW WASHINGTON BOROUGH,73,SANKEY - R,35,LANGERHOLC - R,15,THOMPSON - R
NEWBURG BOROUGH,73,SANKEY - R,35,LANGERHOLC - R,15,THOMPSON - R
OSCEOLA MILLS BOROUGH,73,SANKEY - R,35,LANGERHOLC - R,15,THOMPSON - R
PENN TWP,73,SANKEY - R,35,LANGERHOLC - R,15,THOMPSON - R
PIKE TWP,73,SANKEY - R,35,LANGERHOLC - R,15,THOMPSON - R
PINE TWP,75,GABLER - R,35,LANGERHOLC - R,15,THOMPSON - R
RAMEY BOROUGH,73,SANKEY - R,35,LANGERHOLC - R,15,THOMPSON - R
SANDY TWP,75,GABLER - R,25,SCARNATI - R,15,THOMPSON - R
TROUTVILLE BOROUGH,75,GABLER - R,25,SCARNATI - R,15,THOMPSON - R
UNION TWP,75,GABLER - R,35,LANGERHOLC - R,15,THOMPSON - R
WALLACETON BOROUGH,73,SANKEY - R,35,LANGERHOLC - R,15,THOMPSON - R
WESTOVER BOROUGH,73,SANKEY - R,35,LANGERHOLC - R,15,THOMPSON - R
WOODWARD TWP,73,SANKEY - R,35,LANGERHOLC - R,15,THOMPSON - R
ALLISON TWP,76,BOROWICZ - R,25,SCARNATI - R,12,MARINO - R
AVIS BOROUGH,76,BOROWICZ - R,25,SCARNATI - R,12,MARINO - R
BALD EAGLE TWP,76,BOROWICZ - R,25,SCARNATI - R,12,MARINO - R
BEECH CREEK BOROUGH,76,BOROWICZ - R,25,SCARNATI - R,12,MARINO - R
BEECH CREEK TWP,76,BOROWICZ - R,25,SCARNATI - R,12,MARINO - R
CASTANEA TWP,76,BOROWICZ - R,25,SCARNATI - R,12,MARINO - R
CHAPMAN TWP,76,BOROWICZ - R,25,SCARNATI - R,12,MARINO - R
COLEBROOK TWP,76,BOROWICZ - R,25,SCARNATI - R,12,MARINO - R
CRAWFORD TWP,76,BOROWICZ - R,25,SCARNATI - R,12,MARINO - R
DUNNSTABLE TWP,76,BOROWICZ - R,25,SCARNATI - R,12,MARINO - R
EAST KEATING TWP,76,BOROWICZ - R,25,SCARNATI - R,12,MARINO - R
FLEMINGTON BOROUGH,76,BOROWICZ - R,25,SCARNATI - R,12,MARINO - R
GALLAGHER TWP,76,BOROWICZ - R,25,SCARNATI - R,12,MARINO - R
GREENE TWP,76,BOROWICZ - R,25,SCARNATI - R,12,MARINO - R
GRUGAN TWP,76,BOROWICZ - R,25,SCARNATI - R,12,MARINO - R
LAMAR TWP,76,BOROWICZ - R,25,SCARNATI - R,12,MARINO - R
LEIDY TWP,76,BOROWICZ - R,25,SCARNATI - R,12,MARINO - R
LOCK HAVEN CITY,76,BOROWICZ - R,25,SCARNATI - R,12,MARINO - R
LOGAN TWP,76,BOROWICZ - R,25,SCARNATI - R,12,MARINO - R
LOGANTON BOROUGH,76,BOROWICZ - R,25,SCARNATI - R,12,MARINO - R
MILL HALL BOROUGH,76,BOROWICZ - R,25,SCARNATI - R,12,MARINO - R
NOYES TWP,76,BOROWICZ - R,25,SCARNATI - R,12,MARINO - R
PINE CREEK TWP,76,BOROWICZ - R,25,SCARNATI - R,12,MARINO - R
PORTER TWP,76,BOROWICZ - R,25,SCARNATI - R,12,MARINO - R
RENOVO BOROUGH,76,BOROWICZ - R,25,SCARNATI - R,12,MARINO - R
SOUTH RENOVO BOROUGH,76,BOROWICZ - R,25,SCARNATI - R,12,MARINO - R
WAYNE TWP,76,BOROWICZ - R,25,SCARNATI - R,12,MARINO - R
WEST KEATING TWP,76,BOROWICZ - R,25,SCARNATI - R,12,MARINO - R
WOODWARD TWP,76,BOROWICZ - R,25,SCARNATI - R,12,MARINO - R
ASHLAND BOROUGH,107,MASSER - R,27,GORDNER - R,9,MEUSER - R
BEAVER TWP,109,MILLARD - R,27,GORDNER - R,9,MEUSER - R
BENTON BOROUGH,109,MILLARD - R,27,GORDNER - R,9,MEUSER - R
BENTON TWP,109,MILLARD - R,27,GORDNER - R,9,MEUSER - R
BERWICK BOROUGH,109,MILLARD - R,27,GORDNER - R,9,MEUSER - R
BLOOMSBURG TOWN,109,MILLARD - R,27,GORDNER - R,9,MEUSER - R
BRIAR CREEK BOROUGH,109,MILLARD - R,27,GORDNER - R,9,MEUSER - R
BRIAR CREEK TWP,109,MILLARD - R,27,GORDNER - R,9,MEUSER - R
CATAWISSA BOROUGH,109,MILLARD - R,27,GORDNER - R,9,MEUSER - R
CATAWISSA TWP,109,MILLARD - R,27,GORDNER - R,9,MEUSER - R
CENTRALIA BOROUGH,107,MASSER - R,27,GORDNER - R,9,MEUSER - R
CLEVELAND TWP,107,MASSER - R,27,GORDNER - R,9,MEUSER - R
CONYNGHAM TWP,107,MASSER - R,27,GORDNER - R,9,MEUSER - R
FISHING CREEK TWP,109,MILLARD - R,27,GORDNER - R,9,MEUSER - R
FRANKLIN TWP,107,MASSER - R,27,GORDNER - R,9,MEUSER - R
GREENWOOD TWP,109,MILLARD - R,27,GORDNER - R,9,MEUSER - R
HEMLOCK TWP,109,MILLARD - R,27,GORDNER - R,9,MEUSER - R
JACKSON TWP,109,MILLARD - R,27,GORDNER - R,9,MEUSER - R
LOCUST TWP,107,MASSER - R,27,GORDNER - R,9,MEUSER - R
MADISON TWP,109,MILLARD - R,27,GORDNER - R,9,MEUSER - R
MAIN TWP,109,MILLARD - R,27,GORDNER - R,9,MEUSER - R
MIFFLIN TWP,109,MILLARD - R,27,GORDNER - R,9,MEUSER - R
MILLVILLE BOROUGH,109,MILLARD - R,27,GORDNER - R,9,MEUSER - R
MONTOUR TWP,109,MILLARD - R,27,GORDNER - R,9,MEUSER - R
MOUNT PLEASANT TWP,109,MILLARD - R,27,GORDNER - R,9,MEUSER - R
NORTH CENTRE TWP,109,MILLARD - R,27,GORDNER - R,9,MEUSER - R
ORANGE TWP,109,MILLARD - R,27,GORDNER - R,9,MEUSER - R
ORANGEVILLE BOROUGH,109,MILLARD - R,27,GORDNER - R,9,MEUSER - R
PINE TWP,109,MILLARD - R,27,GORDNER - R,9,MEUSER - R
ROARING CREEK TWP,109,MILLARD - R,27,GORDNER - R,9,MEUSER - R
SCOTT TWP,109,MILLARD - R,27,GORDNER - R,9,MEUSER - R
SOUTH CENTRE TWP,109,MILLARD - R,27,GORDNER - R,9,MEUSER - R
STILLWATER BOROUGH,109,MILLARD - R,27,GORDNER - R,9,MEUSER - R
SUGARLOAF TWP,109,MILLARD - R,27,GORDNER - R,9,MEUSER - R
ATHENS TWP,65,RAPP - R,50,BROOKS - R,16,KELLY - R
BEAVER TWP,17,WENTLING - R,50,BROOKS - R,16,KELLY - R
BLOOMFIELD TWP,65,RAPP - R,50,BROOKS - R,16,KELLY - R
BLOOMING VALLEY BOROUGH,6,ROAE - R,50,BROOKS - R,16,KELLY - R
CAMBRIDGE SPRINGS BOROUGH,6,ROAE - R,50,BROOKS - R,16,KELLY - R
CAMBRIDGE TWP,6,ROAE - R,50,BROOKS - R,16,KELLY - R
CENTERVILLE BOROUGH,65,RAPP - R,50,BROOKS - R,16,KELLY - R
COCHRANTON BOROUGH,17,WENTLING - R,50,BROOKS - R,16,KELLY - R
CONNEAUT LAKE BOROUGH,17,WENTLING - R,50,BROOKS - R,16,KELLY - R
CONNEAUT TWP,17,WENTLING - R,50,BROOKS - R,16,KELLY - R
CONNEAUTVILLE BOROUGH,17,WENTLING - R,50,BROOKS - R,16,KELLY - R
CUSSEWAGO TWP,6,ROAE - R,50,BROOKS - R,16,KELLY - R
EAST FAIRFIELD TWP,6,ROAE - R,50,BROOKS - R,16,KELLY - R
EAST FALLOWFIELD TWP,17,WENTLING - R,50,BROOKS - R,16,KELLY - R
EAST MEAD TWP,6,ROAE - R,50,BROOKS - R,16,KELLY - R
FAIRFIELD TWP,17,WENTLING - R,50,BROOKS - R,16,KELLY - R
GREENWOOD TWP,17,WENTLING - R,50,BROOKS - R,16,KELLY - R
HAYFIELD TWP,6,ROAE - R,50,BROOKS - R,16,KELLY - R
HYDETOWN BOROUGH,65,RAPP - R,50,BROOKS - R,16,KELLY - R
LINESVILLE BOROUGH,17,WENTLING - R,50,BROOKS - R,16,KELLY - R
MEADVILLE CITY,6,ROAE - R,50,BROOKS - R,16,KELLY - R
NORTH SHENANGO TWP,17,WENTLING - R,50,BROOKS - R,16,KELLY - R
OIL CREEK TWP,65,RAPP - R,50,BROOKS - R,16,KELLY - R
PINE TWP,17,WENTLING - R,50,BROOKS - R,16,KELLY - R
RANDOLPH TWP,6,ROAE - R,50,BROOKS - R,16,KELLY - R
RICHMOND TWP,6,ROAE - R,50,BROOKS - R,16,KELLY - R
ROCKDALE TWP,6,ROAE - R,50,BROOKS - R,16,KELLY - R
ROME TWP,65,RAPP - R,50,BROOKS - R,16,KELLY - R
SADSBURY TWP,17,WENTLING - R,50,BROOKS - R,16,KELLY - R
SAEGERTOWN BOROUGH,6,ROAE - R,50,BROOKS - R,16,KELLY - R
SOUTH SHENANGO TWP,17,WENTLING - R,50,BROOKS - R,16,KELLY - R
SPARTA TWP,65,RAPP - R,50,BROOKS - R,16,KELLY - R
SPARTANSBURG BOROUGH,65,RAPP - R,50,BROOKS - R,16,KELLY - R
SPRING TWP,6,ROAE - R,50,BROOKS - R,16,KELLY - R
SPRINGBORO BOROUGH,6,ROAE - R,50,BROOKS - R,16,KELLY - R
STEUBEN TWP,65,RAPP - R,50,BROOKS - R,16,KELLY - R
SUMMERHILL TWP,17,WENTLING - R,50,BROOKS - R,16,KELLY - R
SUMMIT TWP,17,WENTLING - R,50,BROOKS - R,16,KELLY - R
TITUSVILLE CITY,65,RAPP - R,50,BROOKS - R,16,KELLY - R
TOWNVILLE BOROUGH,65,RAPP - R,50,BROOKS - R,16,KELLY - R
TROY TWP,65,RAPP - R,50,BROOKS - R,16,KELLY - R
UNION TWP,6,ROAE - R,50,BROOKS - R,16,KELLY - R
VENANGO BOROUGH,6,ROAE - R,50,BROOKS - R,16,KELLY - R
VENANGO TWP,6,ROAE - R,50,BROOKS - R,16,KELLY - R
VERNON TWP,6,ROAE - R,50,BROOKS - R,3,EVANS - D
VERNON TWP,6,ROAE - R,50,BROOKS - R,16,KELLY - R
WAYNE TWP,6,ROAE - R,50,BROOKS - R,16,KELLY - R
WEST FALLOWFIELD TWP,17,WENTLING - R,50,BROOKS - R,16,KELLY - R
WEST MEAD TWP,6,ROAE - R,50,BROOKS - R,16,KELLY - R
WEST SHENANGO TWP,17,WENTLING - R,50,BROOKS - R,16,KELLY - R
WOODCOCK BOROUGH,6,ROAE - R,50,BROOKS - R,16,KELLY - R
WOODCOCK TWP,6,ROAE - R,50,BROOKS - R,16,KELLY - R
CAMP HILL BOROUGH,87,ROTHMAN - R,31,REGAN - R,10,PERRY - R
CARLISLE BOROUGH,199,GLEIM - R,31,REGAN - R,10,PERRY - R
COOKE TWP,193,ECKER - R,31,REGAN - R,13,JOYCE - R
DICKINSON TWP,199,GLEIM - R,31,REGAN - R,13,JOYCE - R
EAST PENNSBORO TWP,87,ROTHMAN - R,31,REGAN - R,10,PERRY - R
HAMPDEN TWP,87,ROTHMAN - R,31,REGAN - R,10,PERRY - R
HOPEWELL TWP,86,M. K. KELLER - R,30,J. WARD - R,13,JOYCE - R
LEMOYNE BOROUGH,88,DELOZIER - R,31,REGAN - R,10,PERRY - R
LOWER ALLEN TWP,88,DELOZIER - R,31,REGAN - R,10,PERRY - R
LOWER FRANKFORD TWP,199,GLEIM - R,30,J. WARD - R,13,JOYCE - R
LOWER MIFFLIN TWP,199,GLEIM - R,30,J. WARD - R,13,JOYCE - R
